Module,Method,Endpoint,Route Source
Authentication,POST,/api/sign_in,direct-route
Other,PATCH,/api/users/password,devise-default
Other,POST,/api/users/password,devise-default
Other,PUT,/api/users/password,devise-default
Other,GET,/api/users/password/edit,devise-default
Other,GET,/api/users/password/new,devise-default
Authentication,GET,/api/users/sign_in,devise-default
Authentication,POST,/api/users/sign_in,devise-default
Authentication,DELETE,/api/users/sign_out,devise-default
Uptime Monitoring,GET,/asset_upmon,direct-route
Uptime Monitoring,POST,/asset_upmon,resources:create
Uptime Monitoring,DELETE,/asset_upmon/:id,resources:destroy
Uptime Monitoring,GET,/asset_upmon/:id,resources:show
Uptime Monitoring,PATCH,/asset_upmon/:id,resources:update
Uptime Monitoring,PUT,/asset_upmon/:id,resources:update
Uptime Monitoring,GET,/asset_upmon/:id/edit,resources:edit
Uptime Monitoring,POST,/asset_upmon/add_server_details,direct-route
Uptime Monitoring,GET,/asset_upmon/new,resources:new
Uptime Monitoring,GET,/asset_upmon/server_detail,direct-route
Uptime Monitoring,POST,/asset_upmon/set_frequency,direct-route
Uptime Monitoring,POST,/asset_upmon/upmmon_graph,direct-route
Asset Group Management,GET,/assetgroupmasters,resources:index
Asset Group Management,POST,/assetgroupmasters,resources:create
Asset Group Management,DELETE,/assetgroupmasters/:id,resources:destroy
Asset Group Management,GET,/assetgroupmasters/:id,resources:show
Asset Group Management,PATCH,/assetgroupmasters/:id,resources:update
Asset Group Management,PUT,/assetgroupmasters/:id,resources:update
Asset Group Management,GET,/assetgroupmasters/:id/edit,resources:edit
Asset Group Management,PATCH,/assetgroupmasters/:id/toggle_activation,resource-member
Asset Group Management,GET,/assetgroupmasters/new,resources:new
Comparison Dashboard,GET,/comparison_dashboard,direct-route
Comparison Dashboard,POST,/comparison_dashboard/fetch_comparison_data,direct-route
Users,POST,/create_user,direct-route
CWE Results,GET,/cwetestresults,resources:index
CWE Results,POST,/cwetestresults,resources:create
CWE Results,DELETE,/cwetestresults/:id,resources:destroy
CWE Results,GET,/cwetestresults/:id,resources:show
CWE Results,PATCH,/cwetestresults/:id,resources:update
CWE Results,PUT,/cwetestresults/:id,resources:update
CWE Results,GET,/cwetestresults/:id/edit,resources:edit
CWE Results,GET,/cwetestresults/new,resources:new
Application Utilities,POST,/delete_export_file,direct-route
Other,DELETE,/destroy,direct-route
